Year,Month,UN_SIGMA2U_1,UN_SIGMA2U_2,UN_SIGMA2U_3,UN_SIGMA2U_4,UN_SIGMA2U_5,UN_SIGMA2U_6,UN_SIGMA2U_7,UN_SIGMA2U_8,UN_SIGMA2U_9
1984,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1985,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1986,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1987,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
